code,name
IDMUO,Muntok - Banka
IDMRI,Musi River - Sumatra
IDMUF,Muting
IDMTU,Muturi
IDNBX,Nabire
IDNAH,Naha
IDNAM,Namlea
IDNRE,Namrole
IDNPO,Nangapinoh
IDNTX,Natuna Ranai
IDNPL,North Pulau Laut
IDFOO,Numfoor
IDNNX,Nunukan
IDOBD,Obano
IDOBI,Obi Island
IDOEC,Ocussi
IDOKQ,Okaba - Irian Jaya
IDOKL,Oksibil
IDOJA,Olah Jasa Andal/Jakarta
IDOLO,Olee Lheue
IDORA,Oransbari
IDPDG,Padang
IDPAG,Pagatan - Kalimantan
IDPGA,Pagerungan
IDPGM,Pagimana
IDPAI,Paiton
IDPKY,Palangkaraya
IDPPO,Palapo - Sulawesi
IDPLM,Palembang - Sumatra
IDPBW,Palibelo
IDPAL,Palu
IDPNN,Pamanukan - Java
IDPRN,Panarukan - Java
IDPJM,Pandjung Mani
IDPGX,Pangkal Balam - Banka
IDPKR,Pangkalan Brandan - Sumatra
IDPKS,Pangkalan Susu - Sumatra
IDPKN,Pangkalanbuun
IDPGK,Pangkalpinang - Banka
IDPNJ,Panjang
IDPJG,Panjang (Lampung - Sumatra)
IDPTL,Pantoloan - Sv
IDPAP,Pare Pare
IDPPR,Pasir Pangarayan
IDPAS,Pasir Panjang
IDPAZ,Pasuruan - Java
IDPEX,Pekalongan - Java
IDPKU,Pekanbaru - Sumatra
IDFTG,Pelabuhan Futong Terminal
IDPEM,Pemangkat - Kl
IDPDO,Pendopo
IDPNG,Penuba
IDPER,Perawang
IDPWG,Perawang - Sumatra
IDPBG,Perbaungan
IDPIR,Piru
IDPLA,Plaju - Sumatra
IDPMK,Pomako
IDPUM,Pomalaa - Sulawesi
IDPCB,Pondok Cabe
IDPNK,Pontianak - Kalimantan
IDPMG,Port Meneng
IDPTO,Port Okha
IDSGO,Port Segoro Fajar Satryo/Jakarta
IDPSJ,Poso - Sulawesi
IDPOT,Poto Tano
IDPRO,Probolinggo - Java
IDPNT,Prointal - Jv
IDPPS,Pulangpisau
IDPBJ,Pulau Bunyu
IDPUT,Pulau Laut
IDPPJ,Pulau Panjang
IDPSS,Pulau Sambu - Riau
IDPUR,Purwakarta
IDPWL,Purwokerto
IDPSU,Putussibau
IDRAQ,Raha
IDRNI,Ranai
IDRSK,Ransiki
IDREM,Rembang
IDRGT,Rengat - Sumatra
IDREO,Reo
IDRKI,Rokot
IDRTI,Roti
IDRUN,Rungkut
IDRTG,Ruteng - Flores
IDSBG,Sabang - Sumatra
IDSAD,Sadau - Borneo
IDSTG,Salatiga Semarang
IDSWT,Salawati Terminal
IDSRI,Samarinda - Kalimantan
IDSBS,Sambas - Kalimantan
IDSMQ,Sampit - Kalimantan
IDSQN,Sanana
IDSAN,Sanang - Celebes
IDSGQ,Sanggata
IDSGU,Sanggau
IDSAE,Sangir
IDSKI,Sangkulirang - Kalimantan
IDSAT,Santan Terminal - Kl
IDZRM,Sarmi
IDSAS,Sasayap
IDSTU,Satui
IDSXK,Saumlaki
IDISO,Sawahlunto
IDSAU,Sawu
IDSEB,Sebangan Bay - Kalimantan
